LAI,LCC,CCC,B2,B3,B4,B5,B6,B7,B8A,B8,B11,B12,CI_green,CIre_705,CIre_740,ireci,mcari,mtci,ndi45,NDVIre,reip,RERI_705,RERI_783,s2rep,SeLI
4.25,54.783,232.82775,0.0178,0.041349999,0.034174999,0.064649999,0.184949998,0.237324998,0.263600007,0.249499999,0.154549997,0.083899999,5.033630133,2.859906852,0.349159993,0.611184776,0.048529327,6.031176448,0.306256138,0.588257611,727.1723022,0.115711788,0.654897228,727.1723022,0.605775267
4.29,49.257,211.31253,0.017575,0.04195,0.03385,0.064600002,0.199724998,0.2597,0.285975002,0.27335,0.156500004,0.081750002,5.516996741,3.231661499,0.368699841,0.733437881,0.050009476,6.720839143,0.311632007,0.617586419,727.7222595,0.107559405,0.682130635,727.7222595,0.631365389
3.25,8.136,26.442,0.03615,0.114,0.112849999,0.25,0.350225002,0.384100005,0.438699998,0.418174997,0.231225003,0.122775,2.668456256,0.672813371,0.194071084,0.435694933,0.240460176,1.278641313,0.375301234,0.251681358,711.5109253,0.31259723,0.305619262,711.5109253,0.273998633
2.99,4.347,12.99753,0.037466666,0.112233333,0.118933335,0.252466669,0.351900001,0.384899994,0.437099993,0.416299999,0.238199999,0.133466663,2.70941925,0.648965696,0.183005169,0.414844404,0.232511148,1.201431831,0.366748065,0.244979714,709.6959839,0.305476248,0.302978257,709.6959839,0.26774931
2.88,4.338,12.49344,0.034766667,0.109999999,0.102766668,0.2506,0.36983333,0.408299992,0.456900001,0.439766665,0.229066665,0.1197,2.998268127,0.755112827,0.189080164,0.50865221,0.303045372,1.300051928,0.426542709,0.274001151,711.5627035,0.323558897,0.345145712,711.5627035,0.291602721
2.78,10.161,28.24758,0.036933334,0.112233333,0.118266667,0.254566669,0.358099997,0.392466664,0.441466679,0.423566669,0.2453,0.135533333,2.775085211,0.664525588,0.182943155,0.443064868,0.259541705,1.213853796,0.387687474,0.248963013,710.0556641,0.308345954,0.31177476,710.0556641,0.268283973
2.77,6.687,18.52299,0.037066668,0.109699999,0.1171,0.248833333,0.348866661,0.383599997,0.433666666,0.416099995,0.2409,0.133766666,2.793131431,0.672680298,0.192768479,0.423555801,0.232533902,1.243851542,0.371007194,0.251625225,710.6831462,0.303778102,0.310719331,710.6831462,0.27086849
2.77,8.208,22.73616,0.036466667,0.108833333,0.115666668,0.244499996,0.340266665,0.377833337,0.431300004,0.408599993,0.234866664,0.128766666,2.755393982,0.671259582,0.200866585,0.412889451,0.222166091,1.275170803,0.36405472,0.251273404,711.4504191,0.298732917,0.309125741,711.4504191,0.276414901
2.26,11.034,24.93684,0.040899999,0.108233333,0.131466662,0.238366668,0.317266663,0.355466664,0.402466665,0.386100004,0.274699996,0.166700001,2.567896605,0.619654278,0.216810703,0.340751052,0.150267104,1.370981852,0.294080267,0.23652643,713.7467041,0.265485525,0.290899565,713.7467041,0.256056895
2.19,15.804,34.61076,0.038,0.1059,0.125566666,0.239099999,0.32493333,0.360199988,0.407233338,0.391799996,0.261666675,0.152266666,2.700353305,0.638940374,0.205773979,0.366665731,0.165188402,1.380821745,0.310715646,0.242066498,713.7923584,0.278683752,0.297494461,713.7923584,0.260141462
2.21,11.961,26.43381,0.039933333,0.113199999,0.133566668,0.252433335,0.332866659,0.367366662,0.419633329,0.399500002,0.257433325,0.149066667,2.529361089,0.582652867,0.200195154,0.344864517,0.169121991,1.218804836,0.304899832,0.225587741,710.567749,0.28325516,0.273897588,710.567749,0.248800447
2.37,3.321,7.87077,0.040575,0.109824998,0.129775003,0.243900001,0.318849996,0.354074992,0.407299995,0.386675,0.263550002,0.153049998,2.521205783,0.585525259,0.212807171,0.350227863,0.183821823,1.235354662,0.325297467,0.226185899,711.5454407,0.279698167,0.269941729,711.5454407,0.250733819
2.59,8.712,22.56408,0.034624999,0.108199999,0.105275,0.243100002,0.362149999,0.402524993,0.452124998,0.435399994,0.241600007,0.133799998,3.023871481,0.790708408,0.202511728,0.487918049,0.255369633,1.384508193,0.393792905,0.283200726,712.7950439,0.304538026,0.352202669,712.7950439,0.300585747
2.68,6.165,16.5222,0.035700001,0.112066666,0.108799999,0.24893334,0.355800003,0.397300005,0.449499995,0.426833342,0.237666667,0.129433331,2.809448798,0.7148754,0.199691877,0.467228413,0.276730299,1.270402034,0.406544407,0.263201624,711.3170573,0.311665505,0.329765449,711.3170573,0.287132353
2.79,5.121,14.28759,0.040724999,0.108924998,0.124825003,0.231399998,0.308700003,0.341349997,0.3913,0.373025,0.276099995,0.168075003,2.423829317,0.611741647,0.208658826,0.330545373,0.152054692,1.335356802,0.297273599,0.234109279,713.0790405,0.272148721,0.280478939,713.0790405,0.25661679
2.81,10.989,30.87909,0.0348,0.111650001,0.098399997,0.245800003,0.379450008,0.415849999,0.465000004,0.450849995,0.2289,0.120900001,3.03975904,0.835218281,0.188183852,0.545092106,0.312228665,1.362143099,0.436772496,0.294373304,712.0291443,0.316996723,0.365666986,712.0291443,0.308437422
2.82,3.654,10.30428,0.038675,0.11035,0.117749998,0.239549998,0.328500003,0.364174999,0.413850002,0.395850003,0.243625,0.139600001,2.587516189,0.652484626,0.205008108,0.380010478,0.200754251,1.261843324,0.345034793,0.245908223,711.1990814,0.294105813,0.300932363,711.1990814,0.266667925
2.81,7.911,22.22991,0.037775001,0.1085,0.108475,0.222849999,0.307725005,0.341825001,0.396650001,0.374425001,0.248975005,0.141875003,2.450650096,0.68003808,0.216910917,0.370453008,0.183688916,1.372904003,0.339872688,0.253716271,713.7123108,0.288292021,0.299897246,713.7123108,0.280594476
3.08,9.945,30.6306,0.038275,0.101725001,0.100524999,0.215699997,0.355149999,0.395300001,0.431150004,0.415750004,0.274225004,0.171500001,3.091265738,0.928714722,0.170631364,0.519297279,0.198153231,1.746915609,0.363105632,0.316814393,715.682724,0.267283842,0.416247398,715.682724,0.333001509
3.72,10.476,38.97072,0.03315,0.102250002,0.088800002,0.224100001,0.392049998,0.433199987,0.470100001,0.462500006,0.255249999,0.147550002,3.53422749,1.066536367,0.180104829,0.637248039,0.246271305,1.820314467,0.401568323,0.346802041,715.9224548,0.287939072,0.4432794,715.9224548,0.353689149
3.42,7.146,24.43932,0.035066667,0.104366668,0.094966667,0.231899997,0.399333328,0.436266661,0.475099991,0.462866664,0.260300001,0.152499999,3.434446653,0.996151745,0.158860579,0.613891979,0.246851365,1.721692522,0.39402624,0.332076112,714.8103638,0.288094332,0.429849883,714.8103638,0.343789816
2.47,13.779,34.03413,0.0372,0.107299998,0.103033334,0.22573333,0.361799995,0.402400007,0.439000001,0.425233334,0.278866659,0.173199996,2.963338614,0.88386639,0.17548205,0.524799089,0.21464775,1.702984611,0.369116644,0.306443959,715.8337606,0.279658586,0.402245343,715.8337606,0.32078437
